ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,completion_code,feedback_accuracy,feedback_alternative,feedback_explanation,feedback_understanding,job_id,min_offer,min_offer_dss,min_offer_final,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,prop_worker_id,resp_rowid,resp_time_spent,resp_worker_id,timestamp,worker_id
0.0628:0.0708:0.1363:0.706:0.1538,0.001:0.0008:0.0336:0.8212:0.0767,6,5:15:40:50:45,73:12:4:10:6,5,50,prop:MsUuk,ai_sligthly_worse,2,3,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,30,30,30,19,105,A2R89#####G05I,16,6,AZCGS#####E6X,2019-12-20 03:39:51.053093,A2R89#####G05I
0.0899,0.0013,1,30,65,1,50,prop:J5KB9,ai_slighly_better,4,3,3,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,40,40,40,real,30,35,35,46,29,A2N67#####Z3Z,18,21,A3DSX#####T30T,2019-12-20 03:40:09.547195,A2N67#####Z3Z
0.0782,0.0007,1,20,63,1,50,prop:ILjPs,ai_equal_to_proposer,4,3,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,30,25,25,real,25,35,35,49,23,A31ZL#####6CRY,23,18,AKCUB#####2E1,2019-12-20 03:41:30.564265,A31ZL#####6CRY
0.706:0.716:0.1363:0.7877,0.8212:0.2681:0.0336:0.3978,5,50:55:40:60,70:22:7:6,4,50,prop:EKmpb,ai_much_better,1,2,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,50,50,50,18,102,A15SJ#####I3B3,21,7,A1WJU#####TRC6,2019-12-20 03:41:41.308356,A15SJ#####I3B3
0.1363:0.716:0.706:0.1538,0.0336:0.2681:0.8212:0.0767,5,40:55:50:45,148:47:12:17,4,50,prop:LRagi,ai_slighly_better,5,4,5,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,40,50,50,26,213,A32J0#####D8C0,14,81,A38Z5#####FBL1,2019-12-20 03:41:57.588966,A32J0#####D8C0
0.706:0.1363:0.1538,0.8212:0.0336:0.0767,4,50:40:45,85:21:11,3,50,prop:kA34P,ai_equal_to_proposer,1,6,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,15,25,25,real,50,50,50,16,119,AP9M4#####FYM,19,8,AGPUA#####RR6,2019-12-20 03:42:02.636925,AP9M4#####FYM
0.1363:0.706,0.0336:0.8212,2,40:50,73:15,2,50,prop:YNVkA,ai_equal_to_proposer,2,2,4,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,30,30,30,real,50,50,50,17,89,ANBWJ#####68T,24,13,A2VUU#####7V4,2019-12-20 03:42:41.465096,ANBWJ#####68T
0.706:0.716:0.1538:0.0899,0.8212:0.2681:0.0767:0.0013,4,50:55:45:30,96:41:26:9,4,50,prop:VYTKP,ai_much_worse,2,7,1,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,45,35,35,real,50,50,50,17,168,A1NGI#####YCD9,20,16,A1DI0#####QTW8,2019-12-20 03:42:50.435220,A1NGI#####YCD9
0.0899:0.706,0.0013:0.8212,2,30:50,40:19,2,50,prop:Qm4uq,ai_equal_to_proposer,2,4,7,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,30,30,real,30,50,50,14,57,A342Y#####THWO,25,151,A3HK5#####5TZZ,2019-12-20 03:43:34.040928,A342Y#####THWO
0.716:0.1007:0.1538:0.706,0.2681:0.0192:0.0767:0.8212,5,55:35:45:50,128:31:10:12,4,50,prop:K50b2,ai_slighly_better,1,2,6,32ZCLEW0C2QYK4RPWZKT83C3TYTJP4,50,50,50,real,55,55,55,48,165,A1NCW#####AP2K,22,12,A7P3R#####TVV,2019-12-20 03:43:56.465408,A1NCW#####AP2K
