,assignment_id,job_id,worker_code,worker_id
35,33LK57MYLXBNJVAEW4WBGM0SV5DSZ2,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A258M#####6JEP
36,3JZQSN0I3UGEO9AN0S8NOG17VPPFGH,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:I5Noe,A1ZN6#####VVAH
37,33C7UALJVP485FAXAVHE71GF6WT81T,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:avXhv,A3NCE#####7GUI
38,3DR23U6WE9KQN0WXPHNO5HVW9IGTEK,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:WIHct,A3RHJ#####GY2U
39,3OSWBBLG1I3SCBRHYWD1O2YHM25XDG,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:tumSE,AMYUR#####C8T
40,3IRIK4HM3EQ5O417XD904J3F4YU6CV,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:iKYln,A2ZXE#####1E16
41,3L4PIM1GQXMBDQ0WLTUNC5MU39QYRT,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:2s6Pp,A1FNN#####BU8U
42,37ZHEEHM60S0F4JTNU3RHUZHTW273Y,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:ZfTP9,A27SR#####XUHM
43,3C44YUNSI5VN32PQC53KUPCEK3UPDI,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:lE61e,A2MSV#####3WIU
44,32XVDSJFP33UFPUXN0RBH2RFI7X2MT,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:fF0B3,A3O0E#####CZ92
45,3ZR9AIQJUFF7FP2D29N1CKH0ZIQ40E,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:GAxTH,A3MJC#####K0US
46,3PB5A5BD0ZC19GVHI9AB0OOQX19G7H,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:Le0vi,APGX2#####WDN
47,32AT8R96GPF6XWG4QHX3ZULDTNYUSF,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:0T4hq,A3J85#####FYW0
48,33FOTY3KEQRAHI0AR7XJ9NCYWNH1CV,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:Cras7,AADRV#####H75
49,3QAVNHZ3EQAZEA7G03JBN7VOUQ1AL8,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:6dikI,A2O7L#####IHAF
50,36AHBNMV1VIHCGHR3SZ37G5QO83DY6,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:v6Tm3,A2E3S#####ENIR
51,3KJYX6QCMDHDB8ME8DYU3FW9BBXJVG,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:lXFSv,A230G#####3SE7
52,3K5TEWLKGZHHGX28QVDUREH9YW9IV4,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:N4LjV,A18XF#####1OL1
53,3OVHNO1VEA7HH6RWZE1MLNESU27DZX,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:jJE4J,AZCGF#####O10
54,3G5W44VEUBOP4V2113ZK4TTC3LAGKO,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:1wPwJ,AIVOF#####LGM
55,3E7TUJ2EGGS2BF9JVG7N8ZCZFZI9DD,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:6LNKX,A3FBC#####Z05K
56,3E13VNJ1NR11ULMAJHT5KQAT9SZI1C,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:YSRok,A3V1V#####YN17
57,3QECW5O0KL7QRH34EGUL1NPJWPOT5Q,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:QSCKA,A30MP#####MIFD
58,3RUIQRXJBFUGATYKXU81WLBZO21LL2,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:Lk8bk,A18QU#####Q8DF
59,3JJVG1YBEF3QVV9NEU301TJXQIPB5J,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:OdiiJ,A21UA#####AIQJ
