,job_id,min_offer,resp_time_spent,time_start,time_stop,timestamp,worker_id
87,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,30,10,1571364612.9833577,1571364623.278432,2019-10-18 04:10:23.485903,AHUO0#####J8H
88,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,50,21,1571364606.8998451,1571364627.4795961,2019-10-18 04:10:27.606459,A1LUQ#####MYNI
89,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,25,19,1571364615.602162,1571364634.909707,2019-10-18 04:10:35.455468,A1SWV#####25S1
90,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,5,14,1571364646.8730452,1571364661.166938,2019-10-18 04:11:01.308224,AO32G#####YY7
91,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,40,14,1571364666.4586973,1571364680.893297,2019-10-18 04:11:21.151747,AAO2L#####Y1J
92,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,50,31,1571364657.9798996,1571364688.6270373,2019-10-18 04:11:29.586701,A2G4L#####Z28Y
93,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,50,8,1571364751.9701743,1571364760.1092288,2019-10-18 04:12:40.245151,A2C7W#####HKCS
94,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,0,7,1571365781.1808238,1571365788.1831467,2019-10-18 04:29:48.339064,A2DFG#####VQ75
95,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,50,10,1571365781.1941311,1571365791.358036,2019-10-18 04:29:51.491552,A100W#####OZ5O
96,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,45,13,1571365782.428502,1571365795.2532918,2019-10-18 04:29:55.563097,A9VK6#####NVB
97,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,5,11,1571365819.221968,1571365830.2210908,2019-10-18 04:30:30.369358,A1M8I#####7NRQ
98,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,100,34,1571365797.741404,1571365831.3315845,2019-10-18 04:30:31.780763,A1Y66#####8PJA
99,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,35,16,1571365836.1189148,1571365852.395407,2019-10-18 04:30:52.569883,A1SJR#####SDH4
100,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,30,10,1571365851.9618165,1571365861.7944636,2019-10-18 04:31:01.949223,A2XU5#####XT9J
101,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,50,15,1571365856.2187798,1571365870.8183362,2019-10-18 04:31:10.975152,A3GMR#####QVGV
102,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,45,18,1571365894.5431633,1571365912.2707407,2019-10-18 04:31:52.459768,A3MW1#####MMGE
103,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,55,9,1571365933.7253218,1571365943.2069302,2019-10-18 04:32:23.385264,AFK9A#####PNG
104,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,50,22,1571401785.1537364,1571401807.391855,2019-10-18 14:30:07.738945,A2GA2#####W2W
105,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,50,11,1571401842.2171257,1571401853.5216966,2019-10-18 14:30:53.714565,AQOXS#####TSW
106,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,50,3,1571401898.581533,1571401901.812706,2019-10-18 14:31:41.965533,A2VFE#####1E1O
107,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,50,10,1571401947.9094183,1571401957.8245978,2019-10-18 14:32:37.978086,A3H07#####BYOM
108,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,15,12,1571401974.9035308,1571401987.0962133,2019-10-18 14:33:07.271691,A1A1Z#####4YR8
109,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,5,10,1571403953.469764,1571403963.1009488,2019-10-18 15:06:03.283955,A1601#####AQOI
110,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,50,13,1571404081.0999498,1571404094.3935885,2019-10-18 15:08:14.691012,A3DHA#####SE9V
111,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,50,9,1571404310.6371267,1571404319.3506217,2019-10-18 15:11:59.511878,A3FOK#####I4FR
112,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,50,9,1571405901.170537,1571405910.421422,2019-10-18 15:38:30.577842,A18AP#####IFW1
113,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,50,8,1571406336.135137,1571406344.0702596,2019-10-18 15:45:44.190437,ARI1E#####9PO
114,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,40,10,1571407468.3416405,1571407477.979957,2019-10-18 16:04:38.164037,A3U21#####NGT2
115,36FFXPMSUCUK8YKYTZ4T7QRY494HO5,45,12,1571407991.6395879,1571408003.6533716,2019-10-18 16:13:23.795071,ASTY1#####RSV
