job_id,q1,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q2,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q3,q30,q4,q5,q6,q7,q8,q9,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,time_spent,time_start,time_stop,timestamp,worker_bonus,worker_id
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,-3,2,1,-1,2,-2,3,3,3,-3,-1,2,-2,1,2,-3,3,2,2,-1,-1,3,3,-2,2,-2,2,-1,-1,0,-1,-3,2,1,-1,2,-2,3,3,3,-3,-1,2,-2,1,2,-3,3,2,2,-1,-1,3,3,-2,2,-2,2,-1,-1,110,110,1571351306.5110488,1571351416.5462446,2019-10-18 00:30:16.747698,0,A2MSV#####3WIU
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-2,-1,1,-1,1,2,1,2,1,-1,-1,1,1,-2,-2,-2,2,-2,-1,-1,-2,-1,-2,-1,1,-1,-1,-1,-3,1,-22,-2,-1,1,-1,1,2,1,2,1,-1,-1,1,1,-2,-2,-2,2,-2,-1,-1,-2,-1,-2,-1,1,-1,-1,-1,-3,1,207,207,1571351405.3707392,1571351612.7937956,2019-10-18 00:33:33.119388,0,A3MJC#####K0US
33KGGVH25XNWYWDCS1O4YG2KZNQX12,1,-1,-1,1,-1,-1,-1,-2,-1,-1,-2,-1,1,2,1,-1,-2,2,-1,-1,1,2,1,1,-1,-1,1,3,-1,2,21,1,-1,-1,1,-1,-1,-1,-2,-1,-1,-2,-1,1,2,1,-1,-2,2,-1,-1,1,2,1,1,-1,-1,1,3,-1,2,75,75,1571352953.4982662,1571353028.9012475,2019-10-18 00:57:09.060694,0,A3J85#####FYW0
33KGGVH25XNWYWDCS1O4YG2KZNQX12,2,3,-2,-3,-3,3,-2,2,1,1,1,-3,2,-2,-3,-1,1,-1,-2,-2,-2,-2,-2,-1,-2,3,-3,-1,1,3,-8,2,3,-2,-3,-3,3,-2,2,1,1,1,-3,2,-2,-3,-1,1,-1,-2,-2,-2,-2,-2,-1,-2,3,-3,-1,1,3,142,142,1571352943.5044434,1571353085.9599426,2019-10-18 00:58:06.207686,0,AADRV#####H75
33KGGVH25XNWYWDCS1O4YG2KZNQX12,2,-2,2,3,-1,3,1,3,3,-2,3,3,-2,-3,-3,3,2,-3,2,-3,-3,-3,-2,3,3,3,-2,-1,-3,3,-73,2,-2,2,3,-1,3,1,3,3,-2,3,3,-2,-3,-3,3,2,-3,2,-3,-3,-3,-2,3,3,3,-2,-1,-3,3,115,115,1571353012.7473564,1571353127.3377872,2019-10-18 00:58:47.522567,0,A2E3S#####ENIR
33KGGVH25XNWYWDCS1O4YG2KZNQX12,1,3,-3,1,3,3,3,3,3,-3,2,-3,-3,-3,-3,-2,-1,3,-2,3,-3,-3,-1,-1,3,2,-3,-1,-3,-1,-28,1,3,-3,1,3,3,3,3,3,-3,2,-3,-3,-3,-3,-2,-1,3,-2,3,-3,-3,-1,-1,3,2,-3,-1,-3,-1,229,229,1571353014.1395962,1571353243.2534192,2019-10-18 01:00:43.475636,0,AIVOF#####LGM
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,-1,-1,1,1,-1,-1,1,-1,2,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,2,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,62,62,1571353225.8440104,1571353288.0076547,2019-10-18 01:01:28.209712,0,A230G#####3SE7
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-2,-3,-1,-2,-1,2,-2,-1,2,3,-3,1,-1,-1,-2,-1,-2,1,-1,-2,2,-1,-1,-2,1,2,2,2,-2,2,5,-2,-3,-1,-2,-1,2,-2,-1,2,3,-3,1,-1,-1,-2,-1,-2,1,-1,-2,2,-1,-1,-2,1,2,2,2,-2,2,146,146,1571353156.7210712,1571353302.2741306,2019-10-18 01:01:42.424289,0,AZCGF#####O10
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-2,2,1,-3,-2,-3,-2,-3,-2,3,-3,-3,3,3,3,-1,-2,2,-3,3,2,2,1,-3,-3,-1,-1,2,1,-1,62,-2,2,1,-3,-2,-3,-2,-3,-2,3,-3,-3,3,3,3,-1,-2,2,-3,3,2,2,1,-3,-3,-1,-1,2,1,-1,123,123,1571353221.0641506,1571353343.731336,2019-10-18 01:02:24.010311,0,A3FBC#####Z05K
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,-1,-1,-1,-2,1,-1,-1,2,1,-2,-1,1,1,1,1,-2,2,1,1,1,1,1,-1,-1,1,1,2,-1,2,17,-1,-1,-1,-1,-2,1,-1,-1,2,1,-2,-1,1,1,1,1,-2,2,1,1,1,1,1,-1,-1,1,1,2,-1,2,114,114,1571353986.4379125,1571354100.1821501,2019-10-18 01:15:00.409136,0,A320Q#####UOZO
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-3,-1,-2,-1,-3,-1,-2,-1,-2,-1,-3,-2,-2,-1,-2,-1,-2,-3,-2,-1,-2,-2,-1,-3,-2,-3,-1,-2,-1,-3,16,-3,-1,-2,-1,-3,-1,-2,-1,-2,-1,-3,-2,-2,-1,-2,-1,-2,-3,-2,-1,-2,-2,-1,-3,-2,-3,-1,-2,-1,-3,66,66,1571354062.7644987,1571354128.3864565,2019-10-18 01:15:28.732002,0,A3IE3#####XFGN
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-2,-2,-2,-1,3,2,-3,-2,-2,1,2,1,2,1,-2,-1,-1,2,2,1,-2,-2,1,1,-1,-2,2,2,2,1,11,-2,-2,-2,-1,3,2,-3,-2,-2,1,2,1,2,1,-2,-1,-1,2,2,1,-2,-2,1,1,-1,-2,2,2,2,1,78,78,1571354165.8718817,1571354243.3751798,2019-10-18 01:17:23.516529,0,A14WL#####EKO0
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,1,-1,1,2,2,2,-1,2,-1,-1,-2,2,-1,-2,2,-1,1,-2,1,1,-1,-1,-1,1,2,-1,1,-2,2,-8,-1,1,-1,1,2,2,2,-1,2,-1,-1,-2,2,-1,-2,2,-1,1,-2,1,1,-1,-1,-1,1,2,-1,1,-2,2,154,154,1571354209.7475827,1571354363.8140652,2019-10-18 01:19:23.970015,0,A2XQ3#####ZNYB
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,-2,2,-3,-1,-2,-3,-1,1,3,-3,2,1,2,2,-2,-3,-1,1,-1,3,-3,1,3,-2,-1,-2,-1,1,2,14,-1,-2,2,-3,-1,-2,-3,-1,1,3,-3,2,1,2,2,-2,-3,-1,1,-1,3,-3,1,3,-2,-1,-2,-1,1,2,162,162,1571354283.1702716,1571354444.7352617,2019-10-18 01:20:45.329874,0,A3RVX#####ATQ
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-2,2,1,-1,-3,-2,-1,-3,3,-1,-2,-3,2,2,-2,1,-3,1,2,-2,-2,-1,2,1,-2,2,-1,3,-2,2,11,-2,2,1,-1,-3,-2,-1,-3,3,-1,-2,-3,2,2,-2,1,-3,1,2,-2,-2,-1,2,1,-2,2,-1,3,-2,2,181,181,1571355194.1590986,1571355375.4755034,2019-10-18 01:36:15.688078,0,A2IP3#####V8M9
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,1,1,1,2,1,-1,-2,-2,2,2,1,3,1,2,2,1,1,2,1,2,3,2,2,1,1,-1,-1,-2,-1,4,-1,1,1,1,2,1,-1,-2,-2,2,2,1,3,1,2,2,1,1,2,1,2,3,2,2,1,1,-1,-1,-2,-1,39,39,1571355443.4577816,1571355482.8767335,2019-10-18 01:38:03.006956,0,A3A82#####Q2CV
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-2,1,-3,-3,-3,2,-2,2,3,3,1,2,-1,-2,3,-1,-1,-1,1,-1,2,-2,-2,2,-2,-2,-3,3,-1,2,3,-2,1,-3,-3,-3,2,-2,2,3,3,1,2,-1,-2,3,-1,-1,-1,1,-1,2,-2,-2,2,-2,-2,-3,3,-1,2,176,176,1571355353.406151,1571355529.1090603,2019-10-18 01:38:49.292730,0,A1Q4Z#####7K6I
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-3,3,3,-3,-3,3,3,-1,3,1,2,-1,-2,2,3,3,-3,-1,-1,-3,3,1,-1,-1,-2,3,-2,3,-1,-1,5,-3,3,3,-3,-3,3,3,-1,3,1,2,-1,-2,2,3,3,-3,-1,-1,-3,3,1,-1,-1,-2,3,-2,3,-1,-1,114,114,1571355498.389511,1571355612.0194607,2019-10-18 01:40:13.028815,0,A1WL3#####EOWP
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,2,-1,-2,-2,-1,-2,-3,-2,2,-1,-2,-2,-2,-2,-1,-2,2,-1,-1,-1,-1,1,-2,-2,2,-2,2,-2,-1,20,-1,2,-1,-2,-2,-1,-2,-3,-2,2,-1,-2,-2,-2,-2,-1,-2,2,-1,-1,-1,-1,1,-2,-2,2,-2,2,-2,-1,149,149,1571355538.9636955,1571355688.2135668,2019-10-18 01:41:28.581769,0,A2287#####EZ56
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,-2,2,1,1,-2,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,-2,2,1,1,59,59,1571358262.1540356,1571358320.846363,2019-10-18 02:25:20.977423,0,AWCET#####7N4
33KGGVH25XNWYWDCS1O4YG2KZNQX12,2,-3,3,3,3,3,1,3,3,-2,-2,3,-2,-3,-3,3,1,3,3,-3,-2,-2,3,3,1,3,-1,3,-3,3,-54,2,-3,3,3,3,3,1,3,3,-2,-2,3,-2,-3,-3,3,1,3,3,-3,-2,-2,3,3,1,3,-1,3,-3,3,267,267,1571358323.5749629,1571358591.0540612,2019-10-18 02:29:51.382388,0,A13FU#####LBUY
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-2,1,-2,-2,-2,-1,2,-1,-2,1,-2,-2,-1,-1,-2,2,1,-1,-2,1,-2,-1,-1,-2,-1,2,-2,2,2,2,8,-2,1,-2,-2,-2,-1,2,-1,-2,1,-2,-2,-1,-1,-2,2,1,-1,-2,1,-2,-1,-1,-2,-1,2,-2,2,2,2,249,249,1571358483.554262,1571358732.56826,2019-10-18 02:32:12.736217,0,A16RL#####18F5
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,-2,-1,-2,-2,-2,-2,-1,-1,2,-2,-1,-2,-3,-2,-2,-2,1,-2,-2,-2,-2,-1,-2,-2,-2,1,-1,-1,-2,15,-1,-2,-1,-2,-2,-2,-2,-1,-1,2,-2,-1,-2,-3,-2,-2,-2,1,-2,-2,-2,-2,-1,-2,-2,-2,1,-1,-1,-2,115,115,1571359381.4573627,1571359496.6065116,2019-10-18 02:44:56.852693,0,A2UZT#####UBGE
33KGGVH25XNWYWDCS1O4YG2KZNQX12,1,-2,-1,-1,-1,-2,-2,-1,2,2,1,-2,2,-2,-2,-1,-1,-1,-3,-1,1,1,2,-2,1,-1,2,-2,-2,1,10,1,-2,-1,-1,-1,-2,-2,-1,2,2,1,-2,2,-2,-2,-1,-1,-1,-3,-1,1,1,2,-2,1,-1,2,-2,-2,1,157,157,1571359623.1377769,1571359780.0450516,2019-10-18 02:49:40.202343,0,A3BLJ#####ZC9U
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-2,-3,2,-1,-2,1,-1,-1,2,2,3,2,-1,1,2,-3,-2,3,-2,2,2,1,2,1,1,-1,2,3,-1,-2,20,-2,-3,2,-1,-2,1,-1,-1,2,2,3,2,-1,1,2,-3,-2,3,-2,2,2,1,2,1,1,-1,2,3,-1,-2,168,168,1571359751.8682294,1571359920.3519757,2019-10-18 02:52:00.552508,0,A59L6#####C3V
33KGGVH25XNWYWDCS1O4YG2KZNQX12,1,-2,1,3,2,3,-3,2,3,3,3,-1,3,-1,-3,1,-1,-2,3,-3,-3,2,-2,1,-1,3,-2,1,-1,1,-31,1,-2,1,3,2,3,-3,2,3,3,3,-1,3,-1,-3,1,-1,-2,3,-3,-3,2,-2,1,-1,3,-2,1,-1,1,195,195,1571359806.274143,1571360000.8976967,2019-10-18 02:53:21.168408,0,A2QG8#####6F9P
33KGGVH25XNWYWDCS1O4YG2KZNQX12,-1,-1,-1,-2,-3,3,-1,2,-2,1,-1,1,-2,-1,-1,2,1,-2,2,-2,1,-1,1,1,-2,3,-1,-1,-2,2,-15,-1,-1,-1,-2,-3,3,-1,2,-2,1,-1,1,-2,-1,-1,2,1,-2,2,-2,1,-1,1,1,-2,3,-1,-1,-2,2,178,178,1571359937.797731,1571360116.1491,2019-10-18 02:55:16.305491,0,A2BRZ#####AVER
33KGGVH25XNWYWDCS1O4YG2KZNQX12,1,-3,3,-2,3,-1,-1,2,2,-2,-1,3,2,-2,-2,3,-1,3,2,-3,-3,-3,3,3,2,3,-1,-1,-2,3,-38,1,-3,3,-2,3,-1,-1,2,2,-2,-1,3,2,-2,-2,3,-1,3,2,-3,-3,-3,3,3,2,3,-1,-1,-2,3,130,130,1571360677.2319572,1571360807.2094846,2019-10-18 03:06:47.442644,0,A2DZ1#####LUVY
3QHITW7OZRF8JNP026M5F9ZU6EEQAR,-3,1,-2,-1,1,2,1,1,-3,3,1,1,3,-2,-1,-1,2,1,3,2,-1,-1,-2,2,-2,3,1,-2,-1,3,-7,-3,1,-2,-1,1,2,1,1,-3,3,1,1,3,-2,-1,-1,2,1,3,2,-1,-1,-2,2,-2,3,1,-2,-1,3,14,14,1571362747.8866005,1571362762.3637516,2019-10-18 03:39:22.583382,0,ABUF5#####JQO
3QHITW7OZRF8JNP026M5F9ZU6EEQAR,-3,-1,3,1,1,1,1,-1,-1,1,-2,2,2,2,-1,-3,-1,-1,-1,1,-1,2,2,1,-2,3,1,1,1,-1,11,-3,-1,3,1,1,1,1,-1,-1,1,-2,2,2,2,-1,-3,-1,-1,-1,1,-1,2,2,1,-2,3,1,1,1,-1,89,89,1571362869.456809,1571362958.4590359,2019-10-18 03:42:38.662994,0,A1R9Z#####DXLM
3QHITW7OZRF8JNP026M5F9ZU6EEQAR,3,2,2,2,1,2,1,2,3,2,-2,3,-1,-2,-2,2,2,-1,-1,-1,-1,-2,-1,3,2,3,-2,-1,-1,3,-42,3,2,2,2,1,2,1,2,3,2,-2,3,-1,-2,-2,2,2,-1,-1,-1,-1,-2,-1,3,2,3,-2,-1,-1,3,106,106,1571363017.2617223,1571363123.3766184,2019-10-18 03:45:23.577920,0,A2XQ3#####T2ZQ
3QHITW7OZRF8JNP026M5F9ZU6EEQAR,-3,-1,-1,-3,-3,1,-1,-1,2,3,-3,1,3,2,-1,-3,-2,3,-3,2,1,-2,3,-1,-3,-3,2,2,-1,-1,43,-3,-1,-1,-3,-3,1,-1,-1,2,3,-3,1,3,2,-1,-3,-2,3,-3,2,1,-2,3,-1,-3,-3,2,2,-1,-1,190,190,1571363024.3092673,1571363214.6975315,2019-10-18 03:46:55.443516,0,A1NB2#####7JEG
3QHITW7OZRF8JNP026M5F9ZU6EEQAR,-1,-1,-1,-1,-3,-1,-3,-1,-1,3,-1,-1,1,-1,-1,-1,-2,3,-1,2,1,2,3,-1,-3,1,-1,-1,-1,-1,31,-1,-1,-1,-1,-3,-1,-3,-1,-1,3,-1,-1,1,-1,-1,-1,-2,3,-1,2,1,2,3,-1,-3,1,-1,-1,-1,-1,294,294,1571362958.1503742,1571363252.020972,2019-10-18 03:47:32.335021,0,A3BHR#####X3GO
3QHITW7OZRF8JNP026M5F9ZU6EEQAR,1,2,-1,-2,-2,-1,2,2,2,-1,-2,-1,-1,2,-2,2,-2,1,-2,-3,-3,1,2,-1,-1,2,-1,-1,-2,2,-4,1,2,-1,-2,-2,-1,2,2,2,-1,-2,-1,-1,2,-2,2,-2,1,-2,-3,-3,1,2,-1,-1,2,-1,-1,-2,2,103,103,1571363155.5122552,1571363258.3733563,2019-10-18 03:47:38.509175,0,A1P47#####LQ6P
