ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,cc_beta,cc_criterion,cc_false_alarm_avg_click_delay,cc_false_alarm_rate,cc_false_alarms,cc_hit_avg_click_delay,cc_hit_rate,cc_hits,cc_sensitivity,completion_code,cpc_expected_value,cpc_expected_value_max,cpc_expected_value_min,cpc_q1,cpc_q10,cpc_q2,cpc_q3,cpc_q4,cpc_q5,cpc_q6,cpc_q7,cpc_q8,cpc_q9,cpc_time_spent,exp_ultimatum_game_experience,feedback_accuracy,feedback_alternative,feedback_explanation,feedback_understanding,job_id,min_offer,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,prop_worker_id,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,resp_rowid,resp_time_spent,resp_worker_id,risk_expected_value,risk_q1,risk_q2,risk_q3,risk_q4,risk_time_spent,timestamp,worker_id
0.706,0.8212,1,50,12,1,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,342.1666666666667,1.0,6,2.533343507476646,prop:vUYwR,9.4107,10.782,6.1572,14.0,4.1583,2.2333,30.0,14.565,5.16,15.0,2.565,-9.0,15.425,123,0,ai_sligthly_worse,,4,4,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,25,real,50,50,50,7,11,A2FFS#####ME56,14,-1,2,-2,3,-2,1,1,-1,1,-3,1,-1,1,2,1,2,2,1,1,3,2,2,1,-3,2,1,2,1,3,-1,125,25,15,AV2JA#####AJM,1.9825,1.04,1.3299999999999998,2.52,3.04,120,2019-12-23 20:28:27.049645,A2FFS#####ME56
0.706,0.8212,1,50,35,1,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,381.0,1.0,6,2.533343507476646,prop:QMLT2,11.4627,15.852,4.001,14.0,6.5,13.0,30.0,14.565,5.16,14.5,2.565,-1.0875,15.425,93,0,ai_equal_to_proposer,,4,5,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,20,real,50,50,50,9,38,A1ZE8#####A44A,-32,1,-2,2,3,2,-1,2,-1,-2,-2,1,1,-1,-2,-2,1,2,-2,2,-2,-2,-2,-3,2,1,-2,1,2,-2,-1,174,22,9,A3JWP#####COBP,4.645,1.09,1.99,5.5,10.0,143,2019-12-23 20:28:30.241396,A1ZE8#####A44A
0.1363,0.0336,1,40,29,1,50,0.3842982336128855,-0.6914970635503189,201.5,0.5,2,315.1666666666667,1.0,6,1.3829941271006378,prop:RYnhH,8.7723,8.616,5.856,7.0,6.5,13.0,10.22,14.565,5.16,15.0,2.565,-1.0875,14.8,20,0,ai_equal_to_proposer,,5,4,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,40,real,10,45,45,19,19,A309E#####L8X2,-74,-2,-3,3,3,3,3,3,3,3,-3,3,-2,-3,-3,-2,3,3,-3,2,-2,-1,-2,-3,3,3,3,-3,-3,-3,3,149,24,13,A2WF2#####7OHV,1.8675,1.0499999999999998,1.38,2.0,3.04,17,2019-12-23 20:28:43.860692,A309E#####L8X2
0.706,0.8212,1,50,23,1,50,1.2137316295023657,1.0588854732388544,0.0,0.0,0,398.0,0.16666666666666666,1,0.1829278142743068,prop:RShYk,10.8002,14.855,5.2238,14.0,4.1583,13.0,30.0,11.525,3.4167,15.0,2.565,-1.0875,15.425,130,0,ai_equal_to_proposer,,3,5,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,25,real,50,50,50,8,24,A3CWW#####3I14,-23,3,-3,1,2,3,-2,1,-2,1,-3,1,1,-3,1,3,2,3,-2,-3,2,1,-1,1,1,2,-3,-3,-3,-1,1,198,26,11,A2TI9#####47MZ,2.59,1.0499999999999998,1.3299999999999998,3.0,4.98,90,2019-12-23 20:29:08.723156,A3CWW#####3I14
0.1007:0.1363:0.706:0.1538,0.0192:0.0336:0.8212:0.0767,4,35:40:50:45,46:11:4:4,4,50,1.7663033243692394,0.35981104054027524,0.0,0.0,0,321.0,0.6666666666666666,4,1.5810766796714653,prop:H0Co3,10.4847,11.142000000000001,9.2635,14.0,6.5,13.0,30.0,14.565,3.4167,15.0,2.565,-9.0,14.8,68,0,ai_equal_to_proposer,,1,7,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,55,real,50,50,50,20,54,A2852#####S2IX,-40,3,2,3,-3,-3,-3,3,3,3,-3,-3,3,-3,-3,-3,3,3,-3,3,3,-1,-3,-3,-3,3,2,3,-3,-3,3,118,23,8,A1NV5#####LC92,4.375,1.0,1.0,5.5,10.0,19,2019-12-23 20:29:13.782196,A2852#####S2IX
0.706,0.8212,1,50,21,1,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,310.6666666666667,1.0,6,2.533343507476646,prop:vuGTX,10.5236,13.827,4.2448,7.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.015,-1.0875,15.425,97,0,ai_much_better,,2,7,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,5,real,50,50,50,7,29,A2GCN#####OZ9Z,-14,2,-3,3,-2,-2,-1,1,-2,2,-1,3,3,-3,1,-1,-2,-1,-3,1,-3,1,-1,-2,-2,2,-1,2,2,2,1,175,27,23,AZ5ZY#####XDL,2.175,0.99,1.2000000000000002,2.52,3.99,29,2019-12-23 20:29:44.981586,A2GCN#####OZ9Z
0.9387:0.0899:0.1538:0.706,0.0316:0.0013:0.0767:0.8212,4,80:30:45:50,31:3:3:6,4,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,419.5,1.0,6,2.533343507476646,prop:k6mfG,9.6061,9.755,7.3962,14.0,4.1583,2.2333,30.0,11.525,3.4167,15.0,2.015,-1.0875,14.8,34,0,ai_slighly_better,,1,7,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,45,real,40,50,50,15,34,A2WZ7#####JPV,-27,2,1,-2,1,3,-2,1,2,-3,-3,2,1,-1,2,-2,1,1,-3,1,-1,1,-1,-2,1,3,1,-2,-3,1,1,162,28,15,A1NWX#####0M8U,2.5175,1.08,1.5,3.5,3.99,64,2019-12-23 20:30:07.926062,A2WZ7#####JPV
0.706:0.0782:1.0,0.8212:0.0007:0.0501,4,50:20:100,25:14:5,3,50,1.1441994342256387,0.12188122545031213,131.0,0.25,1,320.0,0.6666666666666666,4,1.1052170494915392,prop:j5BF2,9.854,11.617,6.0735,7.0,6.5,13.0,30.0,14.565,5.16,14.5,2.015,-9.0,14.8,82,0,ai_equal_to_proposer,,2,6,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,50,real,50,50,50,9,44,A324V#####G5IB,14,-2,2,-1,-1,-2,-1,-1,-1,-1,-1,-2,-2,-1,2,-1,-1,-2,-2,1,-2,-2,1,-2,1,-1,-1,1,-1,2,-1,146,29,7,A1NLD#####2CX,4.52,1.09,1.99,5.0,10.0,58,2019-12-23 20:30:41.158338,A324V#####G5IB
0.1007:0.0069:1.0:0.706:0.9164:0.1538:0.716,0.0192:0.0489:0.0501:0.8212:0.0548:0.0767:0.2681,7,35:0:100:50:70:45:55,32:5:3:6:3:3:8,7,50,0.6262834321863123,-0.4837107830508505,376.0,0.5,2,397.8,0.8333333333333334,5,0.9674215661017009,prop:CobUp,11.0417,11.982000000000001,8.5798,14.0,4.1583,13.0,30.0,14.565,3.4167,15.0,2.565,-1.0875,14.8,37,1,ai_better,,3,6,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,50,real,45,50,50,14,56,A28IF#####33RZ,24,-1,1,-2,-3,-3,-1,-2,-2,-3,-3,-1,-2,-1,-1,-1,-2,-2,-1,-2,1,-1,-1,2,-2,-2,-2,-2,-1,-1,-1,57,30,13,AO2A1#####0KB,1.245,1.0,1.0,1.0,1.98,25,2019-12-23 20:30:56.630590,A28IF#####33RZ
,,0,,,0,50,1.93799095924558,0.5751746901880039,0.0,0.0,0,421.33333333333326,0.5,3,1.150349380376008,prop:Fipd7,9.9151,10.522,7.4397,14.0,4.1583,2.2333,30.0,14.565,3.4167,14.5,2.565,-1.0875,14.8,70,0,ai_slighly_better,,1,6,3OB6JN3AATV9XPDPCO1ATQ4ZZKIMRU,40,real,50,50,50,8,56,A1HDD#####D33I,-13,1,1,2,3,2,-1,-1,1,-1,-2,2,-3,-2,2,2,1,-1,-2,1,-3,-1,-1,-2,2,3,-1,1,1,1,-2,120,31,18,A38C2#####2LTS,3.7675,1.05,1.5,2.52,10.0,139,2019-12-23 20:31:17.664375,A1HDD#####D33I
