ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,cc_beta,cc_criterion,cc_false_alarm_avg_click_delay,cc_false_alarm_rate,cc_false_alarms,cc_hit_avg_click_delay,cc_hit_rate,cc_hits,cc_sensitivity,completion_code,cpc_expected_value,cpc_expected_value_max,cpc_expected_value_min,cpc_q1,cpc_q10,cpc_q2,cpc_q3,cpc_q4,cpc_q5,cpc_q6,cpc_q7,cpc_q8,cpc_q9,cpc_time_spent,exp_ultimatum_game_experience,job_id,min_offer,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_worker_id,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,resp_rowid,resp_time_spent,resp_worker_id,risk_expected_value,risk_q1,risk_q2,risk_q3,risk_q4,risk_time_spent,timestamp,worker_id
0.7091,0.7938,4,50,11,1,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,359.8333333333333,1.0,6,2.533343507476646,prop:fZR2r,9.9465,11.26,8.3587,14.0,4.1583,13.0,30.0,11.525,3.4167,15.0,2.565,-9.0,14.8,79,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,real,50,50,50,6,A250F#####CGK9,-2,-2,2,1,-1,1,1,1,1,-1,1,1,-2,-1,1,1,-1,1,-1,1,1,-1,1,-2,-1,2,2,-1,1,-1,-1,62,29,9,A2SO6#####GBB7,4.27,1.09,1.99,5.0,9.0,27,2019-11-08 23:14:00.337109,A250F#####CGK9
0.7091,0.7938,1,50,94,1,50,0.7862472003636766,0.8209556581488914,152.0,0.25,1,468.0,0.16666666666666666,1,-0.29293181590561934,prop:y9wir,9.0632,10.779,4.0825,14.0,6.5,13.0,10.22,11.525,5.16,14.5,2.015,-1.0875,14.8,32,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,real,50,50,50,49,A1VL7#####NPX0,-9,-1,-1,-1,1,2,1,-1,1,1,1,2,2,1,1,2,1,3,3,2,1,1,2,1,2,2,3,1,-2,1,1,46,30,10,AWH9P#####UCX,1.395,0.9900000000000001,1.08,1.53,1.9800000000000002,23,2019-11-08 23:15:49.381858,A1VL7#####NPX0
0.1292:0.1805:0.7091:0.2036,0.0586:0.0508:0.7938:0.0759,5,35:40:50:45,36:11:3:3,4,50,0.48245473974625286,1.0287419386483598,181.0,0.25,1,0.0,0.0,0,-0.7085043769045564,prop:YxO75,10.4373,14.522,4.8173,14.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,15.425,54,25,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,real,35,50,50,23,A1D9Z#####6SAF,-2,2,1,1,-2,-3,-3,2,-1,-2,-2,2,2,1,2,1,1,1,-3,-1,-2,-2,1,-2,1,1,-2,1,-2,1,-2,140,31,6,AEF74#####EIA,4.645,1.09,1.99,5.5,10.0,12,2019-11-08 23:16:56.482993,A1D9Z#####6SAF
0.0353,0.0028,1,20,29,1,50,1.2137316295023657,1.0588854732388544,0.0,0.0,0,175.0,0.16666666666666666,1,0.18292781427430682,prop:6HVqg,8.4665,10.765,5.2575,7.0,6.5,2.2333,30.0,11.525,3.4167,15.0,2.565,-9.0,15.425,14,1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,10,real,10,20,20,10,A152N#####ZBUI,11,1,-2,2,-2,-1,-2,-1,-2,-2,-1,1,-2,1,-1,-2,1,1,-2,-1,1,1,2,-2,-2,1,-1,1,2,2,-2,103,32,279,A2Y2A#####U47Q,3.9725,1.08,1.8,5.0,8.01,7,2019-11-08 23:31:16.323867,A152N#####ZBUI
,,0,,,0,50,1.7663033243692394,0.7905383398357327,0.0,0.0,0,353.0,0.3333333333333333,2,0.7196220810805503,prop:NSJgw,10.1955,10.907,9.0172,14.0,4.1583,13.0,30.0,14.565,3.4167,15.0,2.015,-9.0,14.8,19,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,40,real,15,30,30,7,A3OA4#####JOZ7,0,-1,-2,-2,2,1,1,2,2,-1,-1,1,1,-1,-1,2,1,1,2,1,2,1,1,1,-1,2,-1,1,1,2,-1,33,33,6,A16SA#####96G4,1.0,1.0,1.0,1.0,1.0,16,2019-11-08 23:31:27.577727,A3OA4#####JOZ7
0.0054:1.0:0.7091,0.0073:0.0208:0.7938,4,0:100:50,31:7:9,3,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,393.5,1.0,6,2.533343507476646,prop:WMG8i,10.1333,14.885,3.8463,14.0,4.1583,13.0,30.0,11.525,5.16,14.5,2.565,-9.0,15.425,86,0,3NBFJK3IPKO682PN9TMBMQFXPULGO5,25,real,0,0,0,22,A2FLO#####A4ZS,-36,3,2,3,2,-1,-1,-1,1,1,2,-1,3,-3,1,-1,3,3,-2,3,-1,-2,-2,-1,3,3,2,1,-2,-1,1,163,34,21,A28AX#####PH1F,2.7275,1.05,1.3299999999999998,1.53,7.0,36,2019-11-08 23:35:29.703061,A2FLO#####A4ZS
0.7091:0.2036,0.7938:0.0759,2,50:45,19:5,2,50,1.2137316295023657,1.0588854732388544,0.0,0.0,0,340.0,0.16666666666666666,1,0.18292781427430682,prop:HIZx6,7.7642,11.216,3.556,7.0,6.5,13.0,10.22,14.565,3.4167,14.5,2.015,-9.0,15.425,35,5,3NBFJK3IPKO682PN9TMBMQFXPULGO5,10,real,50,50,50,9,A1NYI#####BOTP,-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,69,35,18,A3SXE#####XBMM,2.8125,1.0499999999999998,1.2000000000000002,2.0,7.0,38,2019-11-08 23:35:51.492275,A1NYI#####BOTP
0.0887:0.0054:0.0213:0.7091:0.1292,0.0284:0.0073:0.0009:0.7938:0.0586,7,25:0:5:50:35,62:4:7:5:6,5,50,0.7862472003636766,-0.14646590795280967,173.0,0.25,1,334.0,0.8333333333333334,5,1.6419113162977828,prop:70vmX,7.8574,6.784,5.8013,14.0,4.1583,2.2333,10.22,11.525,5.16,15.0,2.565,-1.0875,14.8,31,3,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,real,25,5,5,40,AV8T3#####PPS,14,-1,3,-2,2,-1,1,1,1,1,1,3,-1,-1,1,1,-1,2,1,-1,1,3,2,-2,-1,1,1,3,2,1,-3,133,36,14,A2INX#####M92F,3.0125,1.0499999999999998,1.5,3.5,6.0,23,2019-11-08 23:37:28.305650,AV8T3#####PPS
0.7091,0.7938,1,50,44,1,50,1.7663033243692394,0.7905383398357327,0.0,0.0,0,373.5,0.3333333333333333,2,0.7196220810805503,prop:Zl2jZ,7.8699,10.434,2.1763,14.0,4.1583,2.2333,10.22,11.525,5.16,14.5,2.565,-1.0875,15.425,13,1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,45,real,50,50,50,22,A3CWE#####V7TL,10,-2,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,2,2,-1,1,2,-1,-1,2,-1,1,-1,-1,-1,2,-1,-1,2,52,37,10,ATP43#####P0C,2.595,1.02,1.38,3.0,4.98,68,2019-11-08 23:54:11.905902,A3CWE#####V7TL
0.7091:0.1068:0.1805,0.7938:0.0039:0.0508,4,50:30:40,47:16:15,3,50,0.7862472003636766,0.14646590795280967,320.6666666666667,0.75,3,245.0,0.16666666666666666,1,-1.6419113162977828,prop:WKFK9,6.6277,8.346,2.8348,7.0,4.1583,2.2333,10.22,14.565,5.16,14.5,2.015,-9.0,15.425,8,1,3NBFJK3IPKO682PN9TMBMQFXPULGO5,50,real,40,50,50,20,ADKYB#####815,19,1,2,-2,1,-1,-2,1,-3,-3,-1,-3,-3,3,-2,-3,-3,1,-1,-1,-1,-2,1,1,-2,-3,-2,-1,-3,3,1,30,38,23,A3D8W#####SOH,2.6925,1.08,1.71,3.0,4.98,14,2019-11-08 23:57:49.529885,ADKYB#####815
