ai_calls_acceptance_probability,ai_calls_best_offer_probability,ai_calls_count_repeated,ai_calls_offers,ai_calls_pauses,ai_nb_calls,ai_offer,cc_beta,cc_criterion,cc_false_alarm_avg_click_delay,cc_false_alarm_rate,cc_false_alarms,cc_hit_avg_click_delay,cc_hit_rate,cc_hits,cc_sensitivity,completion_code,cpc_expected_value,cpc_expected_value_max,cpc_expected_value_min,cpc_q1,cpc_q10,cpc_q2,cpc_q3,cpc_q4,cpc_q5,cpc_q6,cpc_q7,cpc_q8,cpc_q9,cpc_time_spent,exp_ultimatum_game_experience,feedback_accuracy,feedback_alternative,feedback_explanation,feedback_understanding,job_id,min_offer,model_type,offer,offer_dss,offer_final,prop_time_spent,prop_time_spent_dss,prop_worker_id,ras_assertiveness,ras_q1,ras_q10,ras_q11,ras_q12,ras_q13,ras_q14,ras_q15,ras_q16,ras_q17,ras_q18,ras_q19,ras_q2,ras_q20,ras_q21,ras_q22,ras_q23,ras_q24,ras_q25,ras_q26,ras_q27,ras_q28,ras_q29,ras_q3,ras_q30,ras_q4,ras_q5,ras_q6,ras_q7,ras_q8,ras_q9,ras_time_spent,resp_rowid,resp_time_spent,resp_worker_id,risk_expected_value,risk_q1,risk_q2,risk_q3,risk_q4,risk_time_spent,timestamp,worker_id
,,0,,,0,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,308.6666666666667,1.0,6,2.533343507476646,prop:1DemR,9.4722,9.266,6.606,14.0,6.5,13.0,10.22,14.565,5.16,15.0,2.565,-1.0875,14.8,74,0,ai_equal_to_proposer,5,6,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,100,100,100,27,23,A3KS8#####0L4W,-28,3,-3,1,3,3,-3,-1,2,-3,-3,-2,3,-2,3,-2,-2,2,-2,3,-2,-3,-2,-2,2,2,-3,2,-3,-1,-2,138,20,8,A270H#####LJ8W,4.645,1.09,1.99,5.5,10.0,35,2019-11-08 22:30:11.588615,A3KS8#####0L4W
0.706,0.8212,1,50,21,1,50,1.2137316295023657,0.0914639071371534,0.0,0.0,0,295.4,0.8333333333333334,5,2.1177709464777092,prop:hCp4D,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,70,0,ai_better,6,6,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,50,real,55,70,70,11,14,AM65I#####U4F,-29,1,-2,2,3,3,1,1,2,-1,-2,3,1,-1,-1,1,1,1,-2,-2,-2,1,-1,-2,1,-1,1,-1,-1,-1,-2,113,22,7,A3I0I#####KFFZ,4.645,1.09,1.99,5.5,10.0,31,2019-11-08 22:51:46.902201,AM65I#####U4F
0.716,0.2681,1,55,64,1,50,1.2137316295023657,0.0914639071371534,0.0,0.0,0,369.0,0.8333333333333334,5,2.1177709464777092,prop:PARb1,10.4248,10.872,8.4422,14.0,4.1583,13.0,30.0,14.565,5.16,15.0,2.565,-9.0,14.8,152,0,ai_slighly_better,6,5,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,25,real,50,40,40,48,18,A340U#####MEZF,25,1,-1,1,-2,1,-3,-1,1,-3,-1,-1,-1,2,2,2,-1,2,1,-1,1,2,1,2,-1,1,-2,2,-1,2,-2,207,23,15,AMARS#####3TG,3.925,1.0,1.2000000000000002,3.5,10.0,102,2019-11-08 22:49:51.601567,A340U#####MEZF
0.0069,0.0489,1,0,15,1,50,0.6262834321863123,0.4837107830508505,223.0,0.5,2,162.0,0.16666666666666666,1,-0.9674215661017009,prop:pVGHZ,9.9952,15.355,2.9212,7.0,4.1583,13.0,30.0,11.525,3.4167,14.5,2.015,-1.0875,15.425,12,3,ai_sligthly_worse,1,1,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,25,real,0,35,35,10,15,A12N4#####2Q8Y,1,3,-2,-2,3,2,3,2,3,2,2,-2,1,-2,3,2,3,2,-1,-2,-1,3,2,2,-3,-2,-3,2,3,1,3,14,24,5,A3JLE#####17E2,2.2275,1.05,1.38,4.5,1.98,4,2019-11-08 22:52:19.820279,A12N4#####2Q8Y
0.083:0.1363,0.0007:0.0336,2,25:40,84:19,2,50,1.1441994342256387,0.12188122545031213,203.0,0.25,1,348.25,0.6666666666666666,4,1.1052170494915392,prop:CKEZn,8.1791,8.744,4.6388,7.0,4.1583,13.0,10.22,11.525,5.16,15.0,2.015,-1.0875,14.8,41,16,ai_much_better,6,1,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,5,real,50,40,40,23,98,A1Q98#####BROL,-9,-1,-3,3,3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,3,3,3,3,-3,-3,-3,3,-3,-3,2,-3,3,-3,102,25,9,A2F2D#####U4AK,2.2225,1.0499999999999998,1.3299999999999998,2.52,3.99,37,2019-11-08 23:07:29.372856,A1Q98#####BROL
0.0708,0.0008,1,15,10,1,50,0.7447665023958179,-0.1163223733623151,0.0,0.0,0,359.83333333333326,1.0,6,2.533343507476646,prop:VOQ4v,9.9465,11.26,8.3587,14.0,4.1583,13.0,30.0,11.525,3.4167,15.0,2.565,-9.0,14.8,79,0,ai_equal_to_proposer,5,5,4,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,20,20,20,5,10,A3VE9#####2N5G,-2,-2,2,1,-1,1,1,1,1,-1,1,1,-2,-1,1,1,-1,1,-1,1,1,-1,1,-2,-1,2,2,-1,1,-1,-1,62,26,9,A2SO6#####GBB7,4.27,1.09,1.99,5.0,9.0,27,2019-11-08 23:08:26.721989,A3VE9#####2N5G
0.0899,0.0013,1,30,65,1,50,0.7862472003636766,0.8209556581488914,152.0,0.25,1,468.0,0.16666666666666666,1,-0.2929318159056193,prop:vqC6H,9.0632,10.779000000000002,4.0825,14.0,6.5,13.0,10.22,11.525,5.16,14.5,2.015,-1.0875,14.8,32,0,ai_slighly_better,5,6,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,10,25,25,53,30,A1SVP#####6CV5,-9,-1,-1,-1,1,2,1,-1,1,1,1,2,2,1,1,2,1,3,3,2,1,1,2,1,2,2,3,1,-2,1,1,46,27,10,AWH9P#####UCX,1.395,0.99,1.08,1.53,1.98,23,2019-11-08 23:10:01.807344,A1SVP#####6CV5
0.1363,0.0336,1,40,23,1,50,1.2137316295023657,1.0588854732388544,0.0,0.0,0,175.0,0.16666666666666666,1,0.1829278142743068,prop:dw0ur,8.4665,10.765,5.2575,7.0,6.5,2.2333,30.0,11.525,3.4167,15.0,2.565,-9.0,15.425,14,1,ai_equal_to_proposer,3,3,5,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,10,real,50,50,50,13,23,A3EVR#####TE1A,11,1,-2,2,-2,-1,-2,-1,-2,-2,-1,1,-2,1,-1,-2,1,1,-2,-1,1,1,2,-2,-2,1,-1,1,2,2,-2,103,29,279,A2Y2A#####U47Q,3.9725,1.08,1.8,5.0,8.01,7,2019-11-08 23:14:25.373447,A3EVR#####TE1A
0.0681:0.0899:0.95:0.706,0.0009:0.0013:0.0353:0.8212,4,10:30:90:50,52:10:10:8,4,50,0.4824547397462529,1.0287419386483598,181.0,0.25,1,0.0,0.0,0,-0.7085043769045564,prop:1suth,10.4373,14.522,4.8173,14.0,4.1583,13.0,30.0,14.565,5.16,14.5,2.565,-9.0,15.425,54,25,ai_much_better,7,1,7,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,40,real,10,50,50,25,63,A20N1#####S88F,-2,2,1,1,-2,-3,-3,2,-1,-2,-2,2,2,1,2,1,1,1,-3,-1,-2,-2,1,-2,1,1,-2,1,-2,1,-2,140,28,6,AEF74#####EIA,4.645,1.09,1.99,5.5,10.0,12,2019-11-08 23:08:58.554495,A20N1#####S88F
0.0899,0.0013,1,30,31,1,50,1.2137316295023657,1.0588854732388544,0.0,0.0,0,340.0,0.16666666666666666,1,0.1829278142743068,prop:vH5UO,7.7642,11.216,3.556,7.0,6.5,13.0,10.22,14.565,3.4167,14.5,2.015,-9.0,15.425,35,5,ai_slighly_better,6,5,6,3Z33IC0JD3SMJCBCWZ2FP1NIKQ99VU,10,real,50,45,45,16,29,A19PA#####1OTQ,-2,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,1,69,32,18,A3SXE#####XBMM,2.8125,1.0499999999999998,1.2000000000000002,2.0,7.0,38,2019-11-08 23:16:19.988220,A19PA#####1OTQ
